40	0	50	0.3727	0	-0.9399	0.9596	0.2938	0.0248	0	-0.0952	0	0.3186	38.69354839

-40	0	50	0.3668	0	0.9733	-0.9814		0.0229	0	0.0845	0	0.0229	-42.8558952
-38	0	50	0.3667	0	0.9839	-1.0011		0.0222	0	0.0764	0	0.0222	-45.09459459
-36	0	50	0.3661	0	0.9955	-1.0205		0.021	0	0.0672	0	0.021	-48.5952381
-34	0	50	0.4382	0	1.1188	-1.1725		0.0203	0	0.0575	0	0.0203	-57.75862069
-32	0	50	0.4287	0	1.1315	-1.1868		0.0191	0	0.0475	0	0.0191	-62.13612565
-30	0	50	0.4151	0	1.1412	-1.1959		0.0184	0	0.0385	0	0.0184	-64.99456522
-28	0	50	0.3993	0	1.1488	-1.2018		0.0173	0	0.0282	0	0.0173	-69.46820809
-26	0	50	0.3731	0	1.1394	-1.1876		0.0165	0	0.0204	0	0.0165	-71.97575758
-24	0	50	0.3388	0	1.1119	-1.1536		0.0158	0	0.0153	0	0.0158	-73.01265823
-22	0	50	0.3362	0	1.1587	-1.2003		0.0148	0	0.0107	0	0.0148	-81.10135135
-20	0	50	0.2884	0	1.0952	-1.1278		0.0141	0	0.0078	0	0.0141	-79.9858156
-18	0	50	0.2608	0	1.0818	-1.1095		0.0134	0	0.0063	0	0.0134	-82.79850746
-16	0	50	0.227	0	1.0478	-1.0698		0.0127	0	0.0044	0	0.0127	-84.23622047
-14	0	50	0.176	0	0.9399	-0.9545		0.0121	0	0.0037	0	0.0121	-78.88429752
-12	0	50	0.1482	0	0.9101	-0.921		0.0115	0	0.003	0	0.0115	-80.08695652
-10	0	50	0.1505	0	1.048	-1.0582		0.011	0	0.0023	0	0.011	-96.2
-8	0	50	0.0945	0	0.8524	-0.8572		0.0105	0	0.0016	0	0.0105	-81.63809524
-6	0	50	0.0494	0	0.6451	-0.6468		0.0101	0	0.0009	0	0.0101	-64.03960396
-4	0	50	0.0172	0	0.4386	-0.4387		0.0098	0	0.0002	0	0.0098	-44.76530612
-2	0	50	-0.0026	0	0.2256	-0.2254		0.0096	0	-0.0005	0	0.0096	-23.47916667
0	0	50	-0.0096	0	0.0011	-0.0011		0.0096	0	-0.0013	0	0.0096	-0.114583333
2	0	50	-0.0026	0	-0.2311	0.2309		0.0096	0	-0.002	0	0.0096	24.05208333
4	0	50	0.0172	0	-0.4423	0.4424		0.0098	0	-0.0027	0	0.0098	45.14285714
6	0	50	0.0539	0	-0.6914	0.6933		0.0101	0	-0.0034	0	0.0101	68.64356436
